"","cor","motif","name"
"562",0.0174365749186803,"MA1585.1","ZKSCAN1"
"213",0.017469482491839,"MA0722.1","VAX1"
"214",0.017469482491839,"MA0723.1","VAX2"
"415",0.0180003781987629,"MA1154.1","ZNF282"
"78",0.0180458815523934,"MA0521.1","Tcf12"
"507",0.0181735869015384,"MA1527.1","NFIC(var.2)"
"376",0.0183416948399826,"MA0894.1","HESX1"
"695",0.0183790370939383,"MA0114.4","HNF4A"
"390",0.0184238009540074,"MA0036.3","GATA2"
"193",0.0185788502430269,"MA0699.1","LBX2"
"162",0.0186879987461945,"MA0669.1","NEUROG2"
"455",0.0187345970839844,"MA1467.1","ATOH1(var.2)"
"702",0.0187746099845597,"MA0700.2","LHX2"
"289",0.0189047316287164,"MA0511.2","RUNX2"
"90",0.0191648159281249,"MA0593.1","FOXP2"
"369",0.0194296073756835,"MA0886.1","EMX2"
"85",0.0196321533491693,"MA0137.3","STAT1"
"577",0.0196809739279749,"MA1606.1","Foxf1"
"185",0.0199383440827811,"MA0691.1","TFAP4"
"95",0.020167907574995,"MA0601.1","Arid3b"
"308",0.0202062513688724,"MA0817.1","BHLHE23"
"440",0.020236746177553,"MA1148.1","PPARA::RXRA"
"613",0.0203986384481949,"MA0158.2","HOXA5"
"271",0.0206387196711687,"MA0783.1","PKNOX2"
"691",0.0207411589038347,"MA0482.2","GATA4"
"309",0.0209650130011737,"MA0818.1","BHLHE22"
"286",0.0210674355595549,"MA0797.1","TGIF2"
"176",0.0210910877139011,"MA0512.2","Rxra"
"364",0.0215766584635879,"MA0881.1","Dlx4"
"211",0.0217538194558198,"MA0720.1","Shox2"
"244",0.0218254058858013,"MA0755.1","CUX2"
"567",0.0222763006968071,"MA1593.1","ZNF317"
"5",0.0225426315126634,"MA0030.1","FOXF2"
"18",0.0226231787638572,"MA0073.1","RREB1"
"276",0.0226616902197744,"MA0788.1","POU3F3"
"439",0.0227119932326734,"MA1147.1","NR4A2::RXRA"
"114",0.0227367858050361,"MA0628.1","POU6F1"
"25",0.022820934384895,"MA0092.1","Hand1::Tcf3"
"495",0.0228693658982169,"MA1514.1","KLF17"
"564",0.0233665239144315,"MA1588.1","ZNF136"
"649",0.0235406329485028,"MA1641.1","MYF5"
"53",0.0237307111877679,"MA0468.1","DUX4"
"505",0.0240141747424278,"MA1524.1","MSGN1"
"688",0.0240712359762919,"MA0481.3","FOXP1"
"122",0.0240801659523405,"MA0636.1","BHLHE41"
"359",0.0240856693089036,"MA0874.1","Arx"
"33",0.0242130032487139,"MA0119.1","NFIC::TLX1"
"393",0.024580856859187,"MA0100.3","MYB"
"655",0.0246411087238809,"MA1647.1","PRDM4"
"696",0.0247147274528743,"MA0484.2","HNF4G"
"272",0.0249291290969939,"MA0784.1","POU1F1"
"219",0.0253457112800136,"MA0141.3","ESRRB"
"197",0.0254058384305279,"MA0707.1","MNX1"
"392",0.0255056861750341,"MA0147.3","MYC"
"273",0.0255363500802512,"MA0785.1","POU2F1"
"318",0.0255817797836112,"MA0827.1","OLIG3"
"365",0.0257118055149422,"MA0882.1","DLX6"
"715",0.0258360370211052,"MA0063.2","NKX2-5"
"373",0.0259980335434561,"MA0890.1","GBX2"
"687",0.0260865096033282,"MA1103.2","FOXK2"
"93",0.0264361797165148,"MA0597.1","THAP1"
"101",0.0264612935952768,"MA0608.1","Creb3l2"
"203",0.0268195119064114,"MA0132.2","PDX1"
"468",0.0268195119064114,"MA1481.1","DRGX"
"603",0.0268195119064114,"MA0612.2","EMX1"
"608",0.0268195119064114,"MA0893.2","GSX2"
"612",0.0268195119064114,"MA0900.2","HOXA2"
"615",0.0268195119064114,"MA0902.2","HOXB2"
"462",0.0269882107844322,"MA1474.1","CREB3L4"
"261",0.02712051765123,"MA0498.2","MEIS1"
"722",0.027129125060472,"MA0627.2","POU2F3"
"330",0.0271974767209919,"MA0844.1","XBP1"
"344",0.0273352440069379,"MA0859.1","Rarg"
"453",0.0277376457988294,"MA1464.1","ARNT2"
"105",0.0279128127464588,"MA0614.1","Foxj2"
"274",0.0279817909339147,"MA0786.1","POU3F1"
"233",0.0280638934895518,"MA0738.1","HIC2"
"159",0.028502930175263,"MA0666.1","MSX1"
"198",0.028502930175263,"MA0708.1","MSX2"
"361",0.028502930175263,"MA0876.1","BSX"
"549",0.0287521329805842,"MA1571.1","TGIF2LX"
"402",0.0287985611877464,"MA1115.1","POU5F1"
"172",0.0288955015727653,"MA0678.1","OLIG2"
"70",0.0292550520161506,"MA0507.1","POU2F2"
"400",0.0292764551336374,"MA0014.3","PAX5"
"275",0.0293623198104107,"MA0787.1","POU3F2"
"81",0.0293682589510946,"MA0076.2","ELK4"
"483",0.0294382954420689,"MA1501.1","HOXB7"
"262",0.0299617455742479,"MA0774.1","MEIS2"
"388",0.0301822592333284,"MA0914.1","ISL2"
"128",0.0304016549737092,"MA0027.2","EN1"
"325",0.0304237777803448,"MA0839.1","CREB3L1"
"380",0.0306691205044125,"MA0898.1","Hmx3"
"243",0.0307440616514669,"MA0754.1","CUX1"
"196",0.0307805267384652,"MA0706.1","MEOX2"
"435",0.0311489357812366,"MA1143.1","FOSL1::JUND(var.2)"
"534",0.0313975838227629,"MA1556.1","RXRG(var.2)"
"463",0.0318905892213426,"MA1475.1","CREB3L4(var.2)"
"519",0.0319478949881711,"MA1539.1","NR2F6(var.3)"
"429",0.0319741794059013,"MA1136.1","FOSB::JUNB(var.2)"
"458",0.0323895351045764,"MA1470.1","BACH2(var.2)"
"733",0.032936684252492,"MA0829.2","SREBF1(var.2)"
