"cor","motif","name"
0.0739467587501921,"MA0894.1","HESX1"
0.0740669486092541,"MA0718.1","RAX"
0.0750678756368676,"MA0620.3","MITF"
0.0753351598590886,"MA0678.1","OLIG2"
0.0756704469004134,"MA0783.1","PKNOX2"
0.0757903557167945,"MA1502.1","HOXB8"
0.0759781058909327,"MA0680.1","PAX7"
0.0763028445875161,"MA1656.1","ZNF449"
0.0764300642456369,"MA0683.1","POU4F2"
0.0764333852119751,"MA0512.2","Rxra"
0.0765485108218401,"MA1537.1","NR2F1(var.2)"
0.0770460233562673,"MA0609.2","CREM"
0.0771761519263723,"MA1538.1","NR2F1(var.3)"
0.0778309137745304,"MA1608.1","Isl1"
0.0779223667618221,"MA0597.1","THAP1"
0.078687372840458,"MA1108.2","MXI1"
0.0790915833584832,"MA0874.1","Arx"
0.079279260562711,"MA0068.2","PAX4"
0.079279260562711,"MA0705.1","Lhx8"
0.079279260562711,"MA1577.1","TLX2"
0.079279260562711,"MA0701.2","LHX9"
0.079279260562711,"MA0075.3","PRRX2"
0.0799127819208503,"MA0833.2","ATF4"
0.0800142501493649,"MA1619.1","Ptf1a(var.2)"
0.0801018215371719,"MA1645.1","NKX2-2"
0.0801503685138264,"MA0136.2","ELF5"
0.0803949355149289,"MA0773.1","MEF2D"
0.08092883667429,"MA0115.1","NR1H2::RXRA"
0.0812995982569588,"MA0666.1","MSX1"
0.0812995982569588,"MA0708.1","MSX2"
0.0812995982569588,"MA0876.1","BSX"
0.0815007242076188,"MA0895.1","HMBOX1"
0.0815826062690804,"MA0792.1","POU5F1B"
0.0818423503400957,"MA0738.1","HIC2"
0.0821802978552975,"MA0502.2","NFYB"
0.0833718704462554,"MA0728.1","Nr2f6(var.2)"
0.0837678130814882,"MA0702.2","LMX1A"
0.0846016793171183,"MA0761.2","ETV1"
0.0853358553977969,"MA0879.1","Dlx1"
0.085351544225226,"MA0704.1","Lhx4"
0.085351544225226,"MA0721.1","UNCX"
0.0853811265673216,"MA0634.1","ALX3"
0.0861105061529341,"MA0707.1","MNX1"
0.0865182348574919,"MA1615.1","Plagl1"
0.0868031964113732,"MA0750.2","ZBTB7A"
0.0869359215891165,"MA0817.1","BHLHE23"
0.0870628717754324,"MA0763.1","ETV3"
0.0875404421158523,"MA1592.1","ZNF274"
0.0876619318324476,"MA0700.2","LHX2"
0.0878330591549341,"MA0505.1","Nr5a2"
0.087840111096371,"MA0621.1","mix-a"
0.0887318096633918,"MA0729.1","RARA"
0.0889311767784365,"MA1463.1","ARGFX"
0.0901370121683345,"MA0759.1","ELK3"
0.0901761734937122,"MA0684.2","RUNX3"
0.0906326287343082,"MA0076.2","ELK4"
0.0910162744639974,"MA1149.1","RARA::RXRG"
0.0914179566753447,"MA0027.2","EN1"
0.0920003683342128,"MA0710.1","NOTO"
0.0922179776301731,"MA0618.1","LBX1"
0.0922533717531479,"MA1546.1","PAX3(var.2)"
0.092364555238946,"MA0887.1","EVX1"
0.0935629748840746,"MA0764.2","ETV4"
0.0935776588878861,"MA0765.2","ETV5"
0.093694010885687,"MA0641.1","ELF4"
