ID,COLLECTION,BASE_ID,VERSION,NAME,ACC
12830,CORE,MA1954,1,FOXO1::ELK1,Q12778
12831,CORE,MA1955,1,FOXO1::ELK3,P41970
12831,CORE,MA1955,1,FOXO1::ELK3,Q12778
12832,CORE,MA1956,1,FOXO1::FLI1,Q01543
12832,CORE,MA1956,1,FOXO1::FLI1,Q12778
12833,CORE,MA1957,1,HOXB2::ELK1,P14652
12833,CORE,MA1957,1,HOXB2::ELK1,P19419
12834,CORE,MA1958,1,HOXD12::ELK1,P19419
12834,CORE,MA1958,1,HOXD12::ELK1,P35452
12835,CORE,MA1959,1,KLF7,O75840
12836,CORE,MA1960,1,MGA::EVX1,P49640
12836,CORE,MA1960,1,MGA::EVX1,Q8IWI9
12837,CORE,MA1961,1,PATZ1,Q9HBE1
12838,CORE,MA1962,1,POU2F1::SOX2,P14859
12838,CORE,MA1962,1,POU2F1::SOX2,P48431
12839,CORE,MA1963,1,SATB1,Q01826
12840,CORE,MA1964,1,SMAD2,Q15796
12841,CORE,MA1965,1,SP5,Q6BEB4
12842,CORE,MA1966,1,TFAP4::ETV1,P50549
12842,CORE,MA1966,1,TFAP4::ETV1,Q01664
12843,CORE,MA1967,1,TFAP4::FLI1,Q01543
12843,CORE,MA1967,1,TFAP4::FLI1,Q01664
12844,CORE,MA1968,1,TFCP2,Q12800
12845,CORE,MA1969,1,THRA,P10827
12846,CORE,MA1970,1,TRPS1,Q9UHF7
12847,CORE,MA1971,1,ZBED2,Q9BTP6
12848,CORE,MA1972,1,ZFP14,Q9HCL3
12849,CORE,MA1973,1,ZKSCAN3,Q9BRR0
12850,CORE,MA1974,1,ZNF211,Q13398
12851,CORE,MA1975,1,ZNF214,Q9UL59
12852,CORE,MA1976,1,ZNF320,A2RRD8
12853,CORE,MA1977,1,ZNF324,O75467
12854,CORE,MA1978,1,ZNF354A,O60765
12855,CORE,MA1979,1,ZNF416,Q8NA42
12856,CORE,MA1980,1,ZNF418,Q8TF45
12857,CORE,MA1981,1,ZNF530,Q6P9A1
12858,CORE,MA1982,1,ZNF574,Q6ZN55
12859,CORE,MA1983,1,ZNF582,Q96NG8
12860,CORE,MA1984,1,ZNF667,Q5HYK9
12861,CORE,MA1985,1,ZNF669,Q96BR6
12862,CORE,MA1986,1,ZNF692,Q9BU19
12863,CORE,MA1987,1,ZNF701,Q9NV72
12864,UNVALIDATED,UN0485,1,ALX4::TBX21,O35137
12864,UNVALIDATED,UN0485,1,ALX4::TBX21,Q9UL17
12865,UNVALIDATED,UN0486,1,CUX1::HOXA13,P31271
12865,UNVALIDATED,UN0486,1,CUX1::HOXA13,P39880
12866,UNVALIDATED,UN0487,1,CUX1::HOXB13,P39880
12866,UNVALIDATED,UN0487,1,CUX1::HOXB13,Q92826
12867,UNVALIDATED,UN0488,1,CUX1::TBX21,P39880
12867,UNVALIDATED,UN0488,1,CUX1::TBX21,Q9UL17
12868,UNVALIDATED,UN0489,1,E2F1::HES7,Q01094
12868,UNVALIDATED,UN0489,1,E2F1::HES7,Q9BYE0
12869,UNVALIDATED,UN0490,1,E2F1::HES7,Q01094
12869,UNVALIDATED,UN0490,1,E2F1::HES7,Q9BYE0
12870,UNVALIDATED,UN0491,1,E2F3::DRGX,A6NNA5
12870,UNVALIDATED,UN0491,1,E2F3::DRGX,O00716
12871,UNVALIDATED,UN0492,1,E2F3::ONECUT2,O00716
12871,UNVALIDATED,UN0492,1,E2F3::ONECUT2,O95948
12872,UNVALIDATED,UN0493,1,E2F3::ONECUT2,O00716
12872,UNVALIDATED,UN0493,1,E2F3::ONECUT2,O95948
12873,UNVALIDATED,UN0494,1,ELK1::EOMES,O95936
12873,UNVALIDATED,UN0494,1,ELK1::EOMES,P19419
12874,UNVALIDATED,UN0495,1,ELK1::ETV7,P19419
12874,UNVALIDATED,UN0495,1,ELK1::ETV7,Q9Y603
12875,UNVALIDATED,UN0496,1,ELK1::FOXI1,P19419
12875,UNVALIDATED,UN0496,1,ELK1::FOXI1,Q12951
12876,UNVALIDATED,UN0497,1,ELK1::FOXI1,P19419
12876,UNVALIDATED,UN0497,1,ELK1::FOXI1,Q12951
12877,UNVALIDATED,UN0498,1,ELK1::HOXA3,O43365
12877,UNVALIDATED,UN0498,1,ELK1::HOXA3,P19419
12878,UNVALIDATED,UN0499,1,ELK1::ONECUT2,O95948
12878,UNVALIDATED,UN0499,1,ELK1::ONECUT2,P19419
12879,UNVALIDATED,UN0500,1,ELK1::PAX1,P15863
12879,UNVALIDATED,UN0500,1,ELK1::PAX1,P19419
12880,UNVALIDATED,UN0501,1,ELK1::PAX5,P19419
12880,UNVALIDATED,UN0501,1,ELK1::PAX5,Q02548
12881,UNVALIDATED,UN0502,1,ELK1::PAX9,P19419
12881,UNVALIDATED,UN0502,1,ELK1::PAX9,P55771
12882,UNVALIDATED,UN0503,1,ELK1::SPDEF,O95238
12882,UNVALIDATED,UN0503,1,ELK1::SPDEF,P19419
12883,UNVALIDATED,UN0504,1,ELK1::TEF,P19419
12883,UNVALIDATED,UN0504,1,ELK1::TEF,Q10587
12884,UNVALIDATED,UN0505,1,ERF::CEBPD,P49716
12884,UNVALIDATED,UN0505,1,ERF::CEBPD,P50548
12885,UNVALIDATED,UN0506,1,ERF::ETV7,P50548
12885,UNVALIDATED,UN0506,1,ERF::ETV7,Q9Y603
12886,UNVALIDATED,UN0507,1,ERF::MAX,P50548
12886,UNVALIDATED,UN0507,1,ERF::MAX,P61244
12887,UNVALIDATED,UN0508,1,ERF::TBX21,P50548
12887,UNVALIDATED,UN0508,1,ERF::TBX21,Q9UL17
12888,UNVALIDATED,UN0509,1,ETV2::BHLHA15,Q3KNT2
12888,UNVALIDATED,UN0509,1,ETV2::BHLHA15,Q9QYC3
12889,UNVALIDATED,UN0510,1,ETV2::CEBPD,P49716
12889,UNVALIDATED,UN0510,1,ETV2::CEBPD,Q3KNT2
12890,UNVALIDATED,UN0511,1,ETV2::EOMES,O95936
12890,UNVALIDATED,UN0511,1,ETV2::EOMES,Q3KNT2
12891,UNVALIDATED,UN0512,1,ETV2::ETV7,Q3KNT2
12891,UNVALIDATED,UN0512,1,ETV2::ETV7,Q9Y603
12892,UNVALIDATED,UN0513,1,ETV2::FOXI1,Q12951
12892,UNVALIDATED,UN0513,1,ETV2::FOXI1,Q3KNT2
12893,UNVALIDATED,UN0514,1,ETV2::FOXI1,Q12951
12893,UNVALIDATED,UN0514,1,ETV2::FOXI1,Q3KNT2
12894,UNVALIDATED,UN0515,1,ETV2::FOXI1,Q12951
12894,UNVALIDATED,UN0515,1,ETV2::FOXI1,Q3KNT2
12895,UNVALIDATED,UN0516,1,ETV2::FOXO6,A8MYZ6
12895,UNVALIDATED,UN0516,1,ETV2::FOXO6,Q3KNT2
12896,UNVALIDATED,UN0517,1,ETV2::NHLH1,Q02575
12896,UNVALIDATED,UN0517,1,ETV2::NHLH1,Q3KNT2
12897,UNVALIDATED,UN0518,1,ETV2::ONECUT2,O95948
12897,UNVALIDATED,UN0518,1,ETV2::ONECUT2,Q3KNT2
12898,UNVALIDATED,UN0519,1,ETV2::ONECUT2,O95948
12898,UNVALIDATED,UN0519,1,ETV2::ONECUT2,Q3KNT2
12899,UNVALIDATED,UN0520,1,ETV2::SPDEF,O95238
12899,UNVALIDATED,UN0520,1,ETV2::SPDEF,Q3KNT2
12900,UNVALIDATED,UN0521,1,ETV2::SREBF2,Q12772
12900,UNVALIDATED,UN0521,1,ETV2::SREBF2,Q3KNT2
12901,UNVALIDATED,UN0522,1,ETV2::TEF,Q10587
12901,UNVALIDATED,UN0522,1,ETV2::TEF,Q3KNT2
12902,UNVALIDATED,UN0523,1,ETV5::CEBPD,P41161
12902,UNVALIDATED,UN0523,1,ETV5::CEBPD,P49716
12903,UNVALIDATED,UN0524,1,ETV5::ETV7,P41161
12903,UNVALIDATED,UN0524,1,ETV5::ETV7,Q9Y603
12904,UNVALIDATED,UN0525,1,FLI1::BHLHA15,Q01543
12904,UNVALIDATED,UN0525,1,FLI1::BHLHA15,Q7RTS1
12905,UNVALIDATED,UN0526,1,FLI1::CEBPB,P17676
12905,UNVALIDATED,UN0526,1,FLI1::CEBPB,Q01543
12906,UNVALIDATED,UN0527,1,FLI1::CEBPD,P49716
12906,UNVALIDATED,UN0527,1,FLI1::CEBPD,Q01543
12907,UNVALIDATED,UN0528,1,FLI1::ETV7,Q01543
12907,UNVALIDATED,UN0528,1,FLI1::ETV7,Q9Y603
12908,UNVALIDATED,UN0529,1,FLI1::FIGLA,Q01543
12908,UNVALIDATED,UN0529,1,FLI1::FIGLA,Q6QHK4
12909,UNVALIDATED,UN0530,1,FLI1::FOXI1,Q01543
12909,UNVALIDATED,UN0530,1,FLI1::FOXI1,Q12952
12910,UNVALIDATED,UN0531,1,FLI1::HOXB13,Q01543
12910,UNVALIDATED,UN0531,1,FLI1::HOXB13,Q92826
12911,UNVALIDATED,UN0532,1,FLI1::MAX,P61244
12911,UNVALIDATED,UN0532,1,FLI1::MAX,Q01543
12912,UNVALIDATED,UN0533,1,FOXJ2::HOXB13,Q92826
12912,UNVALIDATED,UN0533,1,FOXJ2::HOXB13,Q9P0K8
12913,UNVALIDATED,UN0534,1,FOXJ2::PITX1,P78337
12913,UNVALIDATED,UN0534,1,FOXJ2::PITX1,Q9P0K8
12914,UNVALIDATED,UN0535,1,FOXO1::ELF1,P32519
12914,UNVALIDATED,UN0535,1,FOXO1::ELF1,Q12778
12915,UNVALIDATED,UN0536,1,FOXO1::ELK1,P19419
12915,UNVALIDATED,UN0536,1,FOXO1::ELK1,Q12778
12916,UNVALIDATED,UN0537,1,FOXP4,Q8IVH2
12917,UNVALIDATED,UN0538,1,FOXS1,O43638
12919,UNVALIDATED,UN0540,1,GCM1::ELF1,P32521
12919,UNVALIDATED,UN0540,1,GCM1::ELF1,Q9NP62
12920,UNVALIDATED,UN0541,1,GCM1::ELK1,P19420
12920,UNVALIDATED,UN0541,1,GCM1::ELK1,Q9NP62
12921,UNVALIDATED,UN0542,1,GCM1::ELK3,P41970
12921,UNVALIDATED,UN0542,1,GCM1::ELK3,Q9NP62
12922,UNVALIDATED,UN0543,1,GCM1::ELK3,P41971
12922,UNVALIDATED,UN0543,1,GCM1::ELK3,Q9NP62
12923,UNVALIDATED,UN0544,1,GCM1::ETV4,P43268
12923,UNVALIDATED,UN0544,1,GCM1::ETV4,Q9NP62
12924,UNVALIDATED,UN0545,1,GCM1::FOXI1,Q12951
12924,UNVALIDATED,UN0545,1,GCM1::FOXI1,Q9NP62
12925,UNVALIDATED,UN0546,1,GCM1::HOXB13,Q92826
12925,UNVALIDATED,UN0546,1,GCM1::HOXB13,Q9NP62
12926,UNVALIDATED,UN0547,1,GCM1::HOXB13,Q92826
12926,UNVALIDATED,UN0547,1,GCM1::HOXB13,Q9NP62
12927,UNVALIDATED,UN0548,1,GCM1::ONECUT2,O95948
12927,UNVALIDATED,UN0548,1,GCM1::ONECUT2,Q9NP62
12928,UNVALIDATED,UN0549,1,GCM1::SOX2,P48431
12928,UNVALIDATED,UN0549,1,GCM1::SOX2,Q9NP62
12929,UNVALIDATED,UN0550,1,GCM1::TBX21,Q9NP62
12929,UNVALIDATED,UN0550,1,GCM1::TBX21,Q9UL17
12930,UNVALIDATED,UN0551,1,GCM2::DRGX,A6NNA5
12930,UNVALIDATED,UN0551,1,GCM2::DRGX,O75603
12931,UNVALIDATED,UN0552,1,GCM2::ELK1,O75603
12931,UNVALIDATED,UN0552,1,GCM2::ELK1,P19419
12932,UNVALIDATED,UN0553,1,GCM2::HOXA13,O75603
12932,UNVALIDATED,UN0553,1,GCM2::HOXA13,P31271
12933,UNVALIDATED,UN0554,1,GCM2::PITX1,O75603
12933,UNVALIDATED,UN0554,1,GCM2::PITX1,P78337
12934,UNVALIDATED,UN0555,1,GCM2::TBX21,O75603
12934,UNVALIDATED,UN0555,1,GCM2::TBX21,Q9UL17
12935,UNVALIDATED,UN0556,1,GLI4,P10075
12936,UNVALIDATED,UN0557,1,HKR1,P10072
12937,UNVALIDATED,UN0558,1,HOXA3,O43365
12938,UNVALIDATED,UN0559,1,HOXB13::ELK1,P19419
12938,UNVALIDATED,UN0559,1,HOXB13::ELK1,Q92826
12939,UNVALIDATED,UN0560,1,HOXB2::ELK1,P14652
12939,UNVALIDATED,UN0560,1,HOXB2::ELK1,P19419
12940,UNVALIDATED,UN0561,1,HOXB2::PAX1,P14652
12940,UNVALIDATED,UN0561,1,HOXB2::PAX1,P15863
12941,UNVALIDATED,UN0562,1,HOXB2::PAX5,P14652
12941,UNVALIDATED,UN0562,1,HOXB2::PAX5,Q02548
12942,UNVALIDATED,UN0563,1,HOXB2::PAX9,P14652
12942,UNVALIDATED,UN0563,1,HOXB2::PAX9,P55771
12943,UNVALIDATED,UN0564,1,HOXB2::TBX21,P14652
12943,UNVALIDATED,UN0564,1,HOXB2::TBX21,Q9UL17
12944,UNVALIDATED,UN0565,1,HOXB2::TBX3,O15119
12944,UNVALIDATED,UN0565,1,HOXB2::TBX3,P14652
12945,UNVALIDATED,UN0566,1,HOXC10::TBX21,Q9NYD6
12945,UNVALIDATED,UN0566,1,HOXC10::TBX21,Q9UL17
12946,UNVALIDATED,UN0567,1,HOXD12::ELK3,P35452
12946,UNVALIDATED,UN0567,1,HOXD12::ELK3,P41970
12947,UNVALIDATED,UN0568,1,HOXD12::ETV1,P35452
12947,UNVALIDATED,UN0568,1,HOXD12::ETV1,P50549
12948,UNVALIDATED,UN0569,1,HOXD12::ETV4,P35452
12948,UNVALIDATED,UN0569,1,HOXD12::ETV4,P43268
12949,UNVALIDATED,UN0570,1,MEIS1::DRGX,A6NNA5
